algorithm,input_type,n,min_time,avg_time,min_comparisons,avg_comparisons,num_trials
QuickSort_Random,random,100000,6117,6193.2,1959481,1972580.8,5
RadixSort,decreasing,1000,13,13.4,0,0.0,5
RadixSort,decreasing,5000,81,91.6,0,0.0,5
RadixSort,decreasing,10000,148,150.8,0,0.0,5
RadixSort,decreasing,50000,938,967.8,0,0.0,5
RadixSort,decreasing,100000,2043,2098.0,0,0.0,5
RadixSort,increasing,1000,13,15.8,0,0.0,5
RadixSort,increasing,5000,72,76.0,0,0.0,5
RadixSort,increasing,10000,156,163.6,0,0.0,5
RadixSort,increasing,50000,1034,1048.0,0,0.0,5
RadixSort,increasing,100000,1966,2039.2,0,0.0,5
RadixSort,random,1000,15,18.2,0,0.0,5
RadixSort,random,5000,100,112.6,0,0.0,5
RadixSort,random,10000,199,211.2,0,0.0,5
RadixSort,random,50000,1297,1330.8,0,0.0,5
RadixSort,random,100000,2461,2604.4,0,0.0,5
